"decimalLongitude","decimalLatitude"
-105.38167,42.75972
-106.37361,39.64028
-111.62251,41.33092
-111.52769,41.9357
-121.895,37.3394
-105.5911,41.3114
-105.5911,41.3114
-120.774,46.8726
-119.3425,45.9174
-119.3425,45.9174
-121.1787,45.5946
-121.15257,45.81706
-117.5347,47.7952
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-117.426,47.6588
-122.3511,37.4499
-105.6469,39.8358
-122.2929,47.1854
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-154.9167,58.4167
-105.0444,38.8405
-118.07929,52.87917
-112.94979,53.12157
-112.94979,53.12157
-104.4723,43.92702
-104.4723,43.92702
-105.07341,42.03427
-104.4723,43.92702
-104.4723,43.92702
-104.4723,43.92702
-105.51037,39.96189
-104.4723,43.92702
-105.4462,40.00797
-105.4462,40.00797
-105.35197,40.00871
-105.35197,40.00871
-105.35197,40.00871
-106.17859,40.45417
-106.17859,40.45417
-111.66083,40.24444
-105.07341,42.03427
-105.07341,42.03427
-104.4723,43.92702
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-123.62752,47.8021
-106.17859,40.45417
-104.4723,43.92702
-105.07341,42.03427
-105.0954,40.57096
-121.80557,37.98095
-105.0954,40.57096
-105.0954,40.57096
-105.0954,40.57096
-105.0954,40.57096
-121.80557,37.98095
-121.80557,37.98095
-121.80557,37.98095
-121.63386,37.13176
-105.0954,40.57096
-105.0954,40.57096
-104.4701,38.90838
-105.0954,40.57096
-105.0954,40.57096
-119.65442,37.72239
-119.65442,37.72239
-121.80557,37.98095
-121.80557,37.98095
-121.80557,37.98095
-105.0954,40.57096
-105.0954,40.57096
-105.0954,40.57096
-125.79504,58.91773
-122.03336,36.9779
-105.4462,40.00797
-105.89251,40.52081
-103.72916,44.37666
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-122.03336,36.9779
-103.60018,43.76631
-106.79893,37.4825
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.79893,37.4825
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-105.07341,42.03427
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-122.28784,47.57584
-123.27512,44.57019
-117.69281,49.33304
-117.69281,49.33304
-117.69281,49.33304
-123.27512,44.57019
-123.27512,44.57019
-123.27512,44.57019
-117.69281,49.33304
-103.60018,43.76631
-123.02308,48.53626
-123.02308,48.53626
-117.69281,49.33304
-123.02308,48.53626
-116.55295,48.2863
-105.07341,42.03427
-123.02308,48.53626
-123.02308,48.53626
-116.12348,51.18345
-116.12348,51.18345
-116.55295,48.2863
-115.06206,49.51029
-123.02308,48.53626
-123.02308,48.53626
-123.02308,48.53626
-123.02308,48.53626
-116.12348,51.18345
-123.02308,48.53626
-110.44954,44.79732
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-123.43458,53.91158
-103.72916,44.37666
-106.17859,40.45417
-106.17859,40.45417
-103.57528,43.93264
-106.17859,40.45417
-106.17859,40.45417
-106.17859,40.45417
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-105.35197,40.00871
-105.35197,40.00871
-105.35197,40.00871
-105.51037,39.96189
-105.4462,40.00797
-105.35197,40.00871
-105.4462,40.00797
-105.4462,40.00797
-105.4462,40.00797
-106.17859,40.45417
-105.4462,40.00797
